Date,Open,High,Low,Close,Volume,Market Cap
2020-08-26,11366.89,11530.05,11296.99,11488.36,22466660958.0,212210534428.0
2020-08-25,11773.59,11778.3,11189.85,11366.14,26301509932.0,209942744481.0
2020-08-24,11663.69,11807.63,11623.25,11774.6,20681511755.0,217477962650.0
2020-08-23,11679.7,11713.43,11559.92,11664.85,18482062658.0,215439967321.0
2020-08-22,11585.48,11689.41,11448.81,11681.83,20224191306.0,215742068895.0
2020-08-21,11878.03,11899.26,11564.98,11592.49,23762425999.0,214082401861.0
2020-08-20,11761.5,11900.41,11710.06,11878.37,20175242945.0,219350310326.0
2020-08-19,11990.88,12028.92,11687.33,11758.28,24502851117.0,217122068305.0
2020-08-18,12251.9,12335.71,11954.53,11991.23,26043227672.0,221413097553.0
2020-08-17,11895.66,12359.06,11806.7,12254.4,28227687027.0,226261747567.0
2020-08-16,11866.69,11934.9,11737.19,11892.8,20583375490.0,219576092170.0
2020-08-15,11768.7,11963.2,11768.7,11865.7,23354924400.0,219064372745.0
2020-08-14,11772.66,12150.99,11685.46,11768.87,24237958589.0,217265120503.0
2020-08-13,11588.41,11796.4,11216.87,11784.14,27522199497.0,217534728413.0
2020-08-12,11404.6,11748.4,11249.61,11584.93,25064548486.0,213846666475.0
2020-08-11,11881.65,11932.71,11195.71,11410.53,27039782640.0,210616121945.0
2020-08-10,11662.26,12045.14,11662.26,11878.11,26114112569.0,219235405395.0
2020-08-09,11737.33,11806.06,11548.78,11675.74,17489608833.0,215490364255.0
2020-08-08,11604.55,11800.06,11558.43,11754.05,17572057837.0,216924147851.0
2020-08-07,11778.89,11898.04,11408.59,11601.47,23132312867.0,214097928027.0
2020-08-06,11749.87,11902.34,11598.71,11779.77,23400740340.0,217377233001.0
2020-08-05,11203.82,11786.62,11158.29,11747.02,24411254471.0,216761492406.0
2020-08-04,11246.2,11385.38,11094.15,11205.89,21250197042.0,206767135617.0
2020-08-03,11043.77,11453.08,11012.41,11246.35,20271713443.0,207503423456.0
2020-08-02,11758.76,12034.14,11018.13,11053.61,27410067336.0,203936136730.0
2020-08-01,11322.57,11794.78,11239.68,11759.59,26075670303.0,216950669098.0
2020-07-31,11110.21,11415.86,10987.05,11323.47,23160469766.0,208895308529.0
2020-07-30,11099.83,11169.36,10895.46,11111.21,22857247901.0,204969047788.0
2020-07-29,10912.95,11304.4,10856.14,11100.47,24617249715.0,204761455133.0
2020-07-28,11017.46,11204.33,10632.63,10912.82,28766551142.0,201290022193.0
2020-07-27,9905.22,11298.22,9903.97,10990.87,35359749590.0,202719581737.0
2020-07-26,9680.23,10023.81,9652.85,9905.17,20507998997.0,182685328095.0
2020-07-25,9539.49,9704.56,9530.21,9677.11,16610070933.0,178469614078.0
2020-07-24,9585.51,9623.34,9481.45,9536.89,16552768325.0,175875016548.0
2020-07-23,9527.14,9610.25,9483.0,9581.07,18146399002.0,176680237480.0
2020-07-22,9375.08,9530.52,9319.65,9525.36,16532254884.0,175644844408.0
2020-07-21,9162.51,9407.26,9149.39,9374.89,18069581956.0,172861732402.0
2020-07-20,9187.22,9214.27,9137.51,9164.23,13755604146.0,168970262859.0
2020-07-19,9158.01,9201.4,9097.63,9185.82,12939002784.0,169360219986.0
2020-07-18,9151.18,9230.98,9100.82,9159.04,12252601475.0,168858972269.0
